Area,Item,Element,Unit,Amount
Afghanistan,Waste - agri-food systems,Emissions (CO2eq) (AR5),kilotonnes,3597.1847
Afghanistan,Fertilizers Manufacturing,Emissions (CO2),kilotonnes,23.0557
Afghanistan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kilotonnes,23.0557
Afghanistan,On-farm electricity use,Emissions (CH4),kilotonnes,0.1392
Afghanistan,On-farm electricity use,Emissions (N2O),kilotonnes,0.0007
Afghanistan,On-farm electricity use,Emissions (CO2),kilotonnes,39.869
Afghanistan,On-farm electricity use,Emissions (CO2eq) from CH4 (AR5),kilotonnes,3.8976
Afghanistan,On-farm electricity use,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.1855
Afghanistan,On-farm electricity use,Emissions (CO2eq) (AR5),kilotonnes,43.9521
Afghanistan,Food Processing,Emissions (CH4),kilotonnes,0.2334
Afghanistan,Food Processing,Emissions (N2O),kilotonnes,0.0004
Afghanistan,Food Processing,Emissions (CO2),kilotonnes,72.1092
Afghanistan,Food Processing,Emissions (CO2eq) from CH4 (AR5),kilotonnes,6.5357
Afghanistan,Food Processing,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.1106
Afghanistan,Food Processing,Emissions (CO2eq) (AR5),kilotonnes,78.7554
Afghanistan,Food Packaging,Emissions (CH4),kilotonnes,0.003
Afghanistan,Food Packaging,Emissions (N2O),kilotonnes,0
Afghanistan,Food Packaging,Emissions (CO2),kilotonnes,12.0121
Afghanistan,Food Packaging,Emissions (CO2eq) from CH4 (AR5),kilotonnes,0.0842
Afghanistan,Food Packaging,Emissions (CO2eq) from N2O (AR5),kilotonnes,0
Afghanistan,Food Packaging,Emissions (CO2eq) (AR5),kilotonnes,12.0963
Afghanistan,Food Retail,Emissions (CH4),kilotonnes,0.0429
Afghanistan,Food Retail,Emissions (N2O),kilotonnes,0.0002
Afghanistan,Food Retail,Emissions (CO2),kilotonnes,11.6646
Afghanistan,Food Retail,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1.2026
Afghanistan,Food Retail,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.0553
Afghanistan,Food Retail,Emissions (CO2eq) (AR5),kilotonnes,12.9224
Afghanistan,Food Household Consumption,Emissions (CH4),kilotonnes,1.5982
Afghanistan,Food Household Consumption,Emissions (N2O),kilotonnes,0.0079
Afghanistan,Food Household Consumption,Emissions (CO2),kilotonnes,437.8905
Afghanistan,Food Household Consumption,Emissions (CO2eq) from CH4 (AR5),kilotonnes,44.7504
Afghanistan,Food Household Consumption,Emissions (CO2eq) from N2O (AR5),kilotonnes,2.1007
Afghanistan,Food Household Consumption,Emissions (CO2eq) (AR5),kilotonnes,484.7416
Afghanistan,Food Transport,Emissions (CH4),kilotonnes,0.1337
Afghanistan,Food Transport,Emissions (N2O),kilotonnes,0.0059
Afghanistan,Food Transport,Emissions (CO2),kilotonnes,267.4799
